Text,Polarity ,
অনেক সুন্দর একটা জিনিস আপু,Positive,
আপু আপনার গান শুনে পুরানো স্মৃতি জেগে উঠল।,Positive,
রবীন্দ্রনাথের গান আমার ও আমার মেয়ে মধুরিমার খুব পছন্দ।,Positive,
অসাধারণ সুন্দর সুর আপু মনটা ভরে গেল।।।।,Positive,
গানটি খুব সুন্দর লাগলো আপু।,Positive,
খুব সুন্দর রিভিউ এমন রিভিউ দিলে কাজের উৎসাহ বাড়ে।,Positive,
খুব সুন্দর করে সাজিয়েছেন আপু।,Positive,
বাবা মেয়ের মুহুর্তগুলো সতিই অসাধারন।,Positive,
সাকিবের এরকম সুন্দর চুলের ছবি আগে দেখিনি !,Positive,
"নতুন রুপে ক্রিকেট মাঠে পাবো ইনশাআল্লাহ,",Positive,
দুই রাজকুমারিকে নিয়ে ভালো তাকবেন ভাইয়া।,Positive,
একটা সময় বাংলাদেশের ক্রিকেট খেলার জন্য পাগল হয়ে থাকতাম,Positive,
মহান আল্লাহ আপনাদের সুস্থ রাখুক।,Positive,
ভাইয়া মাছিটাকে দেখেই ভিডিও এর আইডিয়া আসছিলো।,Neutral,
সব কিছু কি একদিনে খাইছেন,Neutral,
এত খাবার রেখে ঘাস লতাপাতা খাও কেন আপু??,Negative,
খাবারগুলো মজাদার সাথে আপনার ছবি তোলাও খুবই সুন্দর হয়েছে !!,Positive,
ফুচকা আর স্প্রাইট বাদে সবই পছন্দের,Positive,
মাটির ঘরে থাকার মজাই আলাদা,Positive,
মাটির ঘরে প্রচুর সময় কাটিয়েছি।,Neutral,
ভিডিওটা মেইল করা যাবে?,Neutral,
আপনার দেওয়া নাম আর আপনার ক্রিয়েশন দুইটাই সুন্দর হয়েছে আপু,Positive,
এই পোস্টের অপেক্ষায় ছিলাম সাকিব ভাইয়া।,Neutral,
ধন্যবাদ এমন মূল্যবান কিছু বাক্য বলার জন্য।,Positive,
তুমি থাকবে বাংলার প্রতিটি ক্রিকেট ফেনদের হৃদয়ের স্পন্দনে,Positive,
আপনার মত লোক গুলো এখন আর অন্যায় এর প্রতিবাদ করে না,Negative,
বছর ঘুরে আবার এলো পবিত্র রমজান মাস।,Positive,
অহেতুক বাজারে গিয়ে ঘুরঘুর করা থেকে বিরত থাকুন।,Negative,
মৃত্যুর পরে এত বাক্য ব্যয় করে কি লাভ !,Negative,
জনাব আপনার অবদানের কথা জাতি সারাজীবন মনে রাখবে।,Positive,
লেখাটা পড়ে মনটা অনেক ভারাক্রান্ত হয়ে গেল।,Negative,
"আইন শৃংখলা বাহিনী সত্যি ওনেক কষ্ট করতেছে,",Positive,
দিন শেষে আমরা নিজের কথা নিজেই বেশি ভাবছি!,Negative,
পুলিশ সবসময় ভালো কাজ করে।,Positive,
সারা দেশ যাচ্ছে এক কঠিন সময় দিয়ে।,Negative,
তোমাকে স্বাধীনতা দিবসের শুভেচ্ছা ভাই,Positive,
মহান শহীদেরা জাতির শ্রেষ্ঠ সন্তান।,Positive,
ভাই দেশের হিরো আপনারা।,Positive,
এখন ও সময় আল্লাহর কাছে ক্ষমা চাওয়ার ।,Positive,
সকল স্তরের মানুষ তো আপনাদের পাশে সর্বদাই রয়েছে।,Positive,
ভাই জনগণের পাশে একটু দাড়ান।,Positive,
দেশের অসহায় মানুষের পাশে দাঁড়ানোর জন্য অনুরোধ করতেছি।,Neutral,
আপনিও আপনার পরিবার নিয়ে নিরাপদে থাকবেন,Positive,
এগুলা ফেসবুকে না বলে সাহসী পদক্ষেপ নিন।,Negative,
আমার এখনো মনে আছে ম্যাচটি ।,Positive,
তামিম ইকবাল বাংলাদেশের ক্রিকেট ইতিহাসের সেরা ক্রিকেটার।,Positive,
ক্রিকেট পাগলরা আপনাকে ভুলবে না কখনো।,Positive,
বিসিবির সভাপতি হিসাবে আপনাকে দেখতে চাই।,Positive,
ভাই সাকিবকে মিস করেন শুনে খুবই আবেগাপ্লুত হয়ে গেছি।,Positive,
ভাই জীবনে দুইজন মহান মানুষকে আমি গুরু বলে সম্বোধন করি।,Positive,
শুরুর দিকে গতিদানব মাশরাফিকে প্রচন্ড ভালবাসতাম।,Positive,
ভালোবাসি কথাটা ছাড়া আর কিছু বলতে পারছি না।,Positive,
হাজারো তরুণের অনুপ্রেরণা আপনি ।,Positive,
মাশরাফিকে নিয়ে বলার মতো কিছু নেই।,Positive,
আমরা নিশ্চিত ভাবে মিস করব ক্যাপ্টেন !,Positive,
"আপনাকে ভুলে যাওয়ার জন্য ভালোবাসি নাই,",Negative,
ক্যাপ্টেনের চোখে জল আসতে নেই।,Negative,
মাশরাফি তুমি থাকবে দেশের ক্রিকেটের পরতে পরতে মিশে।,Positive,
"ভালবাসা অবিরাম থাকবেই আপনার জন্য,",Positive,
বীরের কখনো বিদায় হয় না।,Positive,
আগামীর চ্যালেঞ্জটা আরো অনেক অনেক বড়,Positive,
প্রিয় ম্যাশ মিস করবো অনেক আপনাকে,Positive,
শূন্যতা আর শূন্যস্থান এককথা নয়।,Neutral,
ক্রিকেট বলতে শুধু এই মানুষটাকেই বুঝি।,Positive,
ছোটবেলায় সবাই বলতাম মাশরাফির মত বলার হবো।,Positive,
আপনাকে বিদায় জানাবো না কখনোই।,Positive,
"বাংলাদেশ ক্রিকেট হয়ত একদিন বিশ্বচ্যাম্পিয়ন হবে,",Positive,
একজন মাশরাফি প্রতিদিন জন্মায় না,Positive,
"জীবন নামক ম্যাচটিও শেষবেলায় জিতে যাবেন,",Positive,
জানি না কতটুকু মিস করবো তোমায়।,Positive,
ভাই আপনার প্রতি কোন অভিমান নেই।,Positive,
ভাই আপনাকে ভুলে যাওয়া মানে দেশের ক্রিকেট কে ভুলে যাওয়া,Positive,
তুমি সেরা নক্ষত্র বাংলাদেশের ক্রিকেটের।,Positive,
ভুলে যাওয়ার জন্য ভালোবাসিনি বস,Negative,
আমি ক্রিকেট চেনার আগে তোমাকে চিনতাম ক্যাপ্টেন,Positive,
আপনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করি|,Positive,
শেষ বেলায় ভুলেযেও সব অভিমান,Positive,
"আপনার জন্য এক পৃথিবী সম ভালোবাসা,",Positive,
হয়তো একদিন বাংলাদেশ বিশ্বকাপ জয় করবে।,Positive,
আর আপনি ছিলেন কোটি কোটি বাঙালী'র ভালোবাসা,Positive,
কিছু ভালোবাসা প্রকাশের কোন ভাষা থাকে নাহ,Positive,
আপনি সবসময় ক্রিকেটপ্রেমীদের হৃদয়ে থাকবেন,Positive,
অভিমান করার সুযোগ আপনি কখনো দেননি,Positive,
বিদায় বাংলাদেশের সর্বকালের সেরা অধিনায়ক।,Positive,
অনেক অনেক বেশি শুভকামনা রইলো তোমার প্রতি।,Positive,
তুমি ছিলে বলে আজ বাংলাদেশ এই যায়গায়।,Positive,
নিরহংকার একজন মানুষ আপনি।,Positive,
ভাই আপনার দায়িত্ব তো সবে মাত্র শুরু হল ।,Negative,
কাল তোমার শেষ খেলাটা দেখতে পারি নাই,Negative,
মাশরাফি ভাইকে নিজের ভাইয়ের মতো ভালোবেসেছি.,Positive,
আপনার নেতৃত্ব ছাড়া দল কতটুকু এগিয়ে যায় দেখবো আমরা.,Positive,
সময়ে অসময়ে অনেক মিস করব লিডার,Positive,
আমাদেরও একজন মাশরাফি ছিল এটাই আমার গর্ব।,Positive,
বাংলাদেশ অনেক ভালো ক্রিকেটার পাবে।,Positive,
আপনাকে মিস করবো প্রত্যেকটি খেলাতেই,Positive,
কিছু ভালবাসা প্রকাশ করা যায় না.,Neutral,
আপনাকে ছাড়া ক্রিকেট ভাল্লাগে না।,Positive,
খেলাগুলো সরাসারি দেখালে ভালো হয়।,Positive,
গর্ব করার মতো একটি জায়গা সেটা আমাদের ক্রিকেট।,Positive,
এইদেশে এই প্রতিবাদই শেষ আর কিছুই হয় না।,Negative,
"প্রতিবাদ হওয়া উচিত রাজপথে যেটা কাজে আসতেও পারে,",Negative,
প্রোফাইল পিকচার কালো টাঙিয়ে কি হবে!,Negative,
সবার উচিত একসাথে সোচ্চার হওয়া,Negative,
সাকিবের দেখাদেখি এখন সবাই পোস্ট দিবে,Neutral,
এইভাবে রাষ্ট্রের সবাই কে এগিয়ে আসা উচিত।,Positive,
এটা একটা স্বাধিন মুসলিম দেশ এটা ভাবতেই অবাক লাগে,Negative,
"তোমার পরিশ্রমের মূল্য যেন আল্লাহ দেয়,",Positive,
ফিন্ডিং টা ভালো করে শিখেন,Negative,
বাবার চেয়ে ছেলে অনেক টাই বেশি স্মার্ট,Positive,
অনেকে লাইক পাওয়ার জন্য কমেন্ট করে।,Negative,
আপনিতো ক্যাচ মিস করার মাস্টার,Negative,
জীবনে এমন ক্যচ একবারই ধরা পড়ে।,Positive,
বাবা বেঁচে থাকুক ছেলের হৃদয়ে।,Positive,
আমাদের প্রথম সুপার স্টার আশরাফুল ভাই ।,Positive,
ক্রিকেট দুনিয়ায় এই লোকটাকে খুব মিস করি।,Positive,
প্রিয় দুই জন কে দেখে ভাল লাগল।,Positive,
মামনি খুবই বিরক্ত মনে হচ্ছে।,Neutral,
আশরাফুল কে আবার আগের মত দেখতে চাই,Positive,
গানের জগতে আপনাদেরকে স্বাগতম।,Positive,
ফিটনেসের অনেক উন্নতি হয়েছে।,Positive,
এখন আপনার বোলিং এর স্পীড কেমন,Neutral,
ক্রিকেট ছেড়ে দিয়ে হিরো হওয়ার চান্স নাও ব্রো,Positive,
ভাইজান খেলায় মনোযোগ দিন দয়াকরে।,Negative,
ভাই আমি কিভাবে আপনার সাথে দেখা করতে পারি?,Neutral,
পরিশ্রম কখনোই বৃথা যায় না ভাই।,Positive,
ভাই শুধু ব্যায়ামেই সব।,Positive,
এটা কী চট্টগ্রামে ভাইয়া?,Neutral,
বোলিং টা বুদ্ধিদীপ্ত হওয়া চাই।,Positive,
ভাইয়া ছবিটা সেইভ করা যাবে?,Neutral,
ছেলেবেলার গ্রামের কথা মনে পড়ে গেলো!,Positive,
হারিয়ে যেতে চাই সেথায় !,Positive,
ধৈর্য ধরে থাকলে সফলতা আসবেই,Positive,
আপু দোয়া করছি হতাশা থেকে বের হয়ে আসবেন।,Positive,
হতাশা কে পিছনে ফেলে সামনে এগিয়ে যান,Positive,
গভীর আত্ববিশ্বাস নিয়ে এগিয়ে চলুন ।,Positive,
অনেক দিন পর আপনার পোস্ট দেখলাম আপু।,Positive,
সরে গেলে একদম চলবে না দিদিভাই।,Negative,
আমরা তো আপনাকে হারাতে দেব না দি।,Positive,
একদম নতুন কিছু নিয়ে কাজ করছেন আপু।,Positive,
নতুন একটা জিনিস দেখালেন আপু।,Positive,
অনেক ইউনিক জিনিসটা ভালো লেগেছে,Positive,
আপনার কাজগুলো খুব সৃজণশীল।,Positive,
খুব সুন্দর উদাহরণ দিয়ে বুঝিয়েছেন আপু।,Positive,
আপু আপনার লিখাটা খুব ভালো লেগেছে।,Positive,
এরচেয়ে ভালো ভাবে আর বোঝানো যায়না।,Positive,
খুব ভালো পরামর্শ দিয়েছেন আপু।,Positive,
গানের রিলিক টা কেউ দিবেন প্লিজ?,Neutral,
অসাধারণ ভিডিও হইছে ভাই!,Positive,
বললেই উদ্যোগতা হওয়া যায় না।,Negative,
আবেগের বসে কোন কাজ করা উচিৎ না,Negative,
জেনে বুঝে কাজ করতে হবে,Neutral,
তুমি আর বাংলাদেশের প্রতিনিধিত্ব কর না।,Negative,
ভাই আগে দেশের পরিস্তিতি নিয়ে কথা বলেন,Negative,
আবারও সুস্থ হয়ে উঠুক আমাদের এই বসুন্ধরা।,Positive,
এই পোস্ট নিয়ে আমার কিছু বলার নাই।,Negative,
আপনারা যা বলেন সেটায় ট্রেন্ড হিসেবে নেয় পাবলিক ।,Negative,
আমি সুরক্ষিত হাতে আহার পরিবেশন করি।,Positive,
চুলটা আরো বড় করলে বেশ ভালো লাগবে আপনাকে,Positive,
লাইফবয় এর এমন মহৎ উদ্যোগ কে জানাই স্বাগতম,Positive,
দেশের কথা একটু চিন্তা করেন ভাই,Negative,
"অনেক গুরুত্বপূর্ণ বিষয় জানলাম,",Positive,
এর জন্যই দাম নির্ধারণ অনেক গুরুত্বপূর্ণ৷,Positive,
এগিয়ে যান আপু সাফল্যের দিকে।,Positive,
বাংলাদেশ পুলিশ আমার অহংকার।,Positive,
সেনাবাহিনী কে নিয়ে একটা গান করা উচিত ছিলো,Positive,
এটাই সময় পুরনো খ্যাতি ফিরে আনা,Neutral,
দুই চারজনের জন্য পুরো বাহিনীকে খারাপ বলা যাবে না।,Negative,
পুলিশ ভাই দের মানবতা দেখানোর সুযোগ বেশি।,Positive,
ভাইয়া গানের কথা ও মিউজিক অসাধারণ হয়েছে।,Positive,
আমার নিজের না বলা কথা গুলো এই গানে ফুটে উঠেছে।,Positive,
তাহসান ভাই তুই আমার পছন্দের অভিনেতাদের একজন।,Positive,
এমন কল্পনা থাকলে পৃথিবীকে আর অসুস্থ মনে হবে না।,Positive,
স্বপ্ন কখনো কখনো অধরাই থেকে যায়।,Negative,
এই গানটায় একটা অন্য রকম ভাব আছে,Positive,
কথাগুলো হৃদয়ে রাখার মতো,Positive,
মনে হচ্ছে অসাধারণ একটা অ্যালবাম পেতে যাচ্ছি।,Positive,
পোস্টার এর ছবিটা থেকে তো চোখ সরানো যাচ্ছেনা।,Positive,
আমি নিশ্চিত গানটি খুবই হিট করবে,Positive,
অনেক দিন ধরে অপেক্ষায় আছি নতুন কিছুর,Positive,
প্রত্যকটা গান ই শুনি ভাই।,Positive,
"নাটকের ভিতরের ক্যারেক্টর আরও বেশি ন্যাচেরাল হতে হবে,",Negative,
ভায়ের গান গুলো কেনোজানি হৃদয় কারা।,Positive,
অপেক্ষায় আছি আরেকটি চমকের জন্য।,Positive,
ভাই আমি কি আপনির মতো হতে পারবো,Positive,
আমাদের পেইজ থেকে ঘুরে আসার আমন্ত্রণ রইল।,Positive,
আহা কত্তদিন পর নতুন কিছু,Positive,
বরাবরই আপনার প্রতিটা নাটকই খুবি ভালো লাগে।,Positive,
সেইম জুটির একটা নাটক দেখলাম টিভিতে কিছুদিন আগে,Neutral,
একজন শিক্ষকের সবকিছুই শিক্ষণীয়।,Positive,
বহুদিন পরে একটা ভালো পোস্ট ।,Positive,
ভাই এইবার ঈদে আপনার আরো বেশি নাটক চাই,Positive,
আপনাদের জুটির কাজ আরো বেশি বেশি দেখতে চাই।,Positive,
দুইজনকে একসাথে নাটকে অনেক সুন্দর লাগে,Positive,
খুব দ্রুত মঞ্চে ফেরা হোক এটাই কামনা.,Positive,
আবারো দেখা হবে এক সুস্হ শহরে..!!,Positive,
জানিনা আবার কবে শুনবো মুক্ত জীবনের ধ্বনি।,Positive,
আমরা সবাই আবার নানান উৎসবে মেতে উঠবো।,Positive,
পৃথিবী সুস্থ হলে আবার দেখা হবে ইনশাআল্লাহ,Positive,
কবে হবে সেই উল্লাসিত কন্ঠে কোলাহল,Positive,
এত কিউট কিভাবে হতে পারে একটা মানুষ,Positive,
"এই লুকে প্রাচীন রাজার চরিত্রে খুবই মানাবে,",Positive,
নতুন লুকে আসলেই ভালো লাগছে খুব।,Positive,
আপনাকে নিয়ে যতো ভাবি ততোই আমি মুগ্ধ হই,Positive,
গানের কথা আর সুর অন্যরকম সুন্দর ।,Positive,
সেই ছোটবেলা মনে পড়ে গেলো আহা!,Positive,
আজও প্রতিনিয়ত এই গানটি শুনি,Positive,
গানটা অনেক বার শোনা হয়ে গছে।,Positive,
মনটা খুব খুশি হয়ে গেলো এটা দেখে!,Positive,
গানের প্রতিটি কথায় বাস্তবতার দিক তুলে ধরা হয়েছে.,Positive,
সেই ঈদের আগে থেকে এটারই অপেক্ষা করছিলাম!,Positive,
"নামটা বাংলায় লিখলে শুনতে ভালো লাগতো,",Positive,
সুন্দর কিছুর জন্য বসে থাকাটাও আনন্দের।,Positive,
সত্যি অসাধারণ একটা পিকচার দেখলাম,Positive,
অপেক্ষায় থাকি কখন তাহসান ভাইয়ার গান বের হবে।,Positive,
"অনেক কিছু শেখার আছে আপনার থেকে,,,,",Positive,
"ঈদ বয়ে আনুক অনাবিল সুখ,",Positive,
স্বার্থ মানুষকে অন্ধ করে দেয়।,Negative,
ছোট বেলার ঈদগুলো ভীষণ আনন্দময় ছিলো।,Positive,
শিশুরা অল্পতেই আনন্দিত হতে পারে।,Positive,
বড় হয়ে যাওয়াটা আসলেই আনন্দদায়ক ব্যাপার না।,Negative,
সুন্দর ছবিটির একটা অপরুপ দৃশ্য আছে যার নয়নে যেমন।,Positive,
বাবা ও মেয়েকে খুব সুন্দর লাগছে।,Positive,
সময় কারো জন্যে থেমে থাকেনা ভাই।,Negative,
বাংলাদেশের অভিনয় জগতের একজন ভদ্রলোক।,Positive,
"খুব মিষ্টি একটা ছবি,",Positive,
"এইভাবে সব সময় আপনার মেয়েকে আগলে রাখবেন,,",Positive,
ভালো মানুষজন বেচেঁ থাকুক সারাজীবন,Positive,
"সব গুলো প্ৰিয় মুখ এক সাথে,",Positive,
"অপেক্ষায় থাকলাম প্রিয় মানুষ গুলোর গান শোনার জন্য,",Positive,
আমাদের ছোটবেলার হিরোরা সব একসাথে,Positive,
এটাই বাংলাদেশের স্বাভাবিক দৃশ্য।,Neutral,
বাবার প্রতি সব মেয়েদের ভালবাসা সর্বাধিক থাকে।,Positive,
আজকের দিনের সেরা ছবি,Positive,
গ্রামীন সমাজের চিরন্তন দৃশ্য।,Positive,See 276
গ্রামের ঐতিহ্য দেখে অনেক ভাল লাগল।,Positive,
বেচে থাকুক পৃথিবীর মাঝে সেই ঐতিহ্য গুলো,Positive,
নিরাপদে বাড়ী ফিরতে পারবেতো?,Negative,
যার বাবা নাই সেই বুঝে বাবা না থাকার যন্ত্রণা।,Negative,
"আমি একসময় এভাবে খাবার নিয়ে গেছি বাবার জন্য ,",Negative,
এই মেয়ের জীবনে যেন পিতৃস্নেহের অভাব কোনোদিন না হয় ।,Positive,
পৃথিবীর মানুষ খুব খারাপ ওরা তোকে বাঁচতে দেবে না।,Negative,
ভালোবাসাতো আছে কৃষকের ঘরে,Positive,
কৃষকের সন্তান হিসেবে গর্ববোধ করি।,Positive,
এদের শ্রমের বিনিময়েই দেশটা সচল।,Positive,
কিন্তু এই ছোট বোনটার নিরাপত্তা নাই এই দেশে,Negative,
মন ভালো করার মতো একটি ছবি।,Positive,
এটাই আমার বাংলার আসল প্রতিচ্ছবি,Positive,
মেয়েরাই বাবার কষ্টটা বেশি উপলব্ধি করে,Positive,
আন্তর্জাতিক কফি দিবসে সবাইকে কফির নিমন্ত্রণ রইলো।,Positive,
পারলে দেশের বর্তমান পরিস্থিতি নিয়ে কিছু লিখেন।,Negative,
আজকে প্রথম আপনার পোস্টে হাহা রিয়েক্ট দিলাম,Positive,
"আমি আপনাকে অনেক সম্মান ও শ্রদ্ধা করি,",Positive,
দেশের এই কঠিন দিনে ও আপনাদের মুখ বন্ধ,Negative,
আমার কাছে বাংলাদেশ ক্রিকেট মানে মাশরাফি বিন মর্তুজা,Positive,
অনুশীলনের নতুন জার্সিটা বেশ মানিয়েছে।,Positive,
বাংলাদেশ ক্রিকেটের জন্য রইল শুভ কামনা,Positive,
তোমার জন্য সবসময় সৃষ্টিকর্তার কাছে দোয়া করি।,Positive,
খেলার মাঠে আপনাকে অনেক মিস করতেছি,Positive,
ভালো কিছু দেখাবেন সেটাই প্রত্যাশা,Positive,
"ক্রিকেট খেলা অনেক দিন দেখা হয়নি,,",Negative,
ভাই নিসন্দেহে আপনি দেশ সেরা ব্যাটসম্যান,Positive,
আজকের ভিডিও বেশি মজা লাগছে 😁,Positive,
জন্মদিনের শুভেচ্ছা ও শুভকামনা রইল ভারত থেকে।,Positive,
করোনা সমস্য়ার কারণে অনেক মানুষ বেকার হয়ে পড়েছেন।,Negative,
"আজ দুদিন থেকে আমার জ্বর, মাথাব্যথা, কাশি, সর্দি, শরীর ব্যথা জ্বর কমছে না।",Negative,
"এটার সাথে জিম্যাক্স,ফেক্সো,নাপা,মোনাস খেতে হবে।",Neutral,
অবশ্যই ডাক্তারের পরামর্শ নিতে হবে।,Neutral,
ফুসফুস প্রদাহ মানে অসম্ভব জ্বালাপোড়া আর বমি।,Negative,
"আর সারা শরীরে জ্বালাপোড়া, শ্বাসকষ্ট।",Negative,
উত্তরায় কেউ এই ডক্টর কে দেখিয়েছেন?,Neutral,
সাইবার হ্যাকিং বা হামলার আশঙ্কা!,Negative,
"সুইডেনের সাথে দুই গোল করেছেন রোনালদো, আন্তর্জাতিক ফুটবলে তার গোলসংখ্যা এখন ১০১",Neutral,
"এসব গোলের পিছনে লাটভিয়া,লিথুনিয়া, লুক্সেমবার্গ এর অবদান ভুলার মত নয়",Positive,
অভিনন্দন ক্রিস্টিয়ানো রােনালদো সব'কালের সব'সেরা ফুটবলার,Positive,
গোলের যাদুকর রোনাল্ডোকে অভিনন্দন💝,Positive,
ঢাকার পর চট্টগ্রামেই সবচেয়ে বেশি রোগী।,Negative,
পুলিশ হেফাজতে মৃত্যুর ল্যান্ডমার্ক রায় দিলো বাংলাদেশের আদালত।,Neutral,
হাসপাতালে ভর্তি আছেন ৮ জন।,Negative,
মায়ের ভালোবাসার কি কোন শেষ আছে?,Positive,
ঢাকা সিটি কর্পোরেসন এর ভিতরে ক্যাশ অন হোম ডেলিভারি চার্জ ৬০ টাকা।,Neutral,
অস্ট্রেলিয়ার ওয়ানডে সিরিজে ফিরলেন রয়,Neutral,
টেস্টে খেলার স্বপ্নের কথা জানালেন জাতীয় ক্রিকেট দলের লেগস্পিনার আমিনুল ইসলাম বিপ্লব।,Positive,
মা-মেয়েকে ন্যাড়া করা তুফান সরকারের জামিন প্রশ্নে হাইকোর্টের রুল,Negative,
করোনা সংকট কাটাতে সমন্বিত কার্যক্রমে জোর দিলেন অর্থমন্ত্রী,Positive,
বাংলাদেশ ফুটবল ফেডারেশনের নির্বাচন নিয়ে কথা বলেছেন প্রধান নির্বাচন কমিশনার মেজবাহ আহমেদ।,Neutral,
কোভিড হাসপাতালের তালিকা থেকে হলি ফ্যামিলি বাদ,Negative,
গুগল নিয়ে মাঝে মধ্যে কনফিউশানে পরে যাই।,Negative,
সাইটের টেকনিক্যাল প্রবলেমের কারণে আজ ‘দুর্নীতি কুইজ’এর বিজয়ীর নাম ঘোষণা করা যাচ্ছে না।,Negative,
নোবেল পুরস্কারের জন্য মনোনীত হলেন ট্রাম্প,Neutral,
"স্বেচ্ছাসেবী অসুস্থ, স্থগিত অক্সফোর্ডের টিকার চূড়ান্ত ট্রায়াল",Negative,
প্রতি বছর জন্মের প্রথম ৪ সপ্তাহের মধ্যে প্রায় চার মিলিয়ন নবজাতক মারা যায়।,Neutral,
যথাযথ স্বাস্থ্যসেবার ঘাটতির কারণে বিশ্বে সর্বাধিক নবজাতক মৃত্যুহারের দিক দিয়ে শীর্ষ দশে বাংলাদেশ রয়েছে।,Negative,
এই ইনকিউবেটরগুলো বানানো হয়েছে নবজাতক শিশুদের বেঁচে থাকার সুযোগ করে দেয়ার জন্য।,Positive,
গ্রাফিক ডিজাইনের এই বিশাল জগতের শিক্ষার সূচনা কীভাবে করবে তা নিয়ে চিন্তিত?,Neutral,
দাম আরো কমানো উচিত,Negative,
মায়ের সাথে স্পোকেন ইংলিশ প্র্যাকটিস হবে সবচেয়ে সেরা। 😇,Positive,
শীত আসার আগেই অনলাইনে ঘরে বসে অর্ডার করুন শীতের কাপড় !,Positive,
"এন্ড্রয়েড ১১ এসেছে শাওমি, অপো, রিয়েলমি, ওয়ানপ্লাস ফোনেও",Neutral,
১৫ই সেপ্টেম্বরের এই অ্যাপল ইভেন্টে আইফোন ১২ এর ঘোষণা নাও আসতে পারে।,Negative,
অ্যাকাউন্ট ডিঅ্যাক্টিভেট করলে টাকা দেবে ফেইসবুক!,Positive,
